format_time	player	date	notes
0:32:11.00	dntn31	2/9/2013	
0:31:09.92	dotman1337	9/1/2013	
0:30:46.48	dotman1337	9/15/2013	
0:30:26.98	dotman1337	12/18/2013	
0:28:52.82	dotman1337	12/20/2013	RRd Green Shell Lakitu Skip
0:28:36.00	dotman1337	7/23/2014	
0:28:32.00	Flippy_o	10/10/2014	
0:28:21.00	abney317	2/8/2015	
0:28:16.00	abney317	5/16/2015	
0:28:05.00	abney317	6/3/2015	
0:27:51.00	abney317	6/8/2015	
0:27:31.00	abney317	6/23/2015	
0:27:21.00	abney317	7/6/2015	RRd Spiral Jump
0:27:17.00	abney317	8/5/2015	RRd Spiral Jump off Bowser
0:27:09.00	abney317	5/5/2016	LR Red Shell Skip
0:27:01.00	abney317	5/8/2016	MR Red Shell Skip
0:26:48.00	abney317	5/27/2016	
0:26:35.00	abney317	6/13/2016	
0:26:28.00	abney317	8/25/2016	
0:26:19.00	abney317	12/24/2016	
0:26:04.960	abney317	2/14/2017	
0:26:00.090	abney317	2/15/2017	
0:25:49.110	abney317	2/16/2017	YV Lap Skip
